Model,Accuracy,AUC (macro),Sensitivity,Specificity,ECE,EOD (age_group),DP (age_group),EOD (sex),DP (sex),EOD (loc_zone),DP (loc_zone)
Model A Standard Baseline,0.8609,0.9818,0.7665,0.9557,0.0174,0.2237,0.0585,0.1541,0.0291,0.68,0.0438
Model B Sampling Only,0.789,0.9492,0.579,0.9366,0.0631,0.0419,0.0653,0.0499,0.0208,0.3438,0.0838
Model C Reweighting Only,0.6533,0.8899,0.5688,0.928,0.0977,0.067,0.0605,0.083,0.0115,0.32,0.0525
Model D cGAN Only,0.8053,0.9536,0.6228,0.9407,0.0608,0.0621,0.0728,0.0285,0.0159,0.375,0.0894
Model E Full Framework,0.749,0.9346,0.6301,0.9396,0.0543,0.0114,0.0989,0.007,0.0167,0.4062,0.1006
Model E melboost 3 0,0.7327,0.9324,0.6369,0.9445,0.0603,0.1154,0.1834,0.0273,0.0314,0.5938,0.0876
