epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6171227693557739,0.0010000000474974513,1.3405970335006714,0.7632293105125427,0.7439630627632141
1,0.7316093444824219,0.0010000000474974513,0.8335037231445312,0.8107191324234009,0.5779842138290405
2,0.7623650431632996,0.0010000000474974513,0.710821270942688,0.8337855935096741,0.5244568586349487
3,0.7755460739135742,0.0010000000474974513,0.6753969192504883,0.8405698537826538,0.49951860308647156
4,0.7815716862678528,0.0010000000474974513,0.6454705595970154,0.8432835936546326,0.49415284395217896
5,0.7865930199623108,0.0010000000474974513,0.6304060220718384,0.8521031141281128,0.4821282923221588
6,0.7948782444000244,0.0010000000474974513,0.6239291429519653,0.8548168540000916,0.46642202138900757
7,0.795756995677948,0.0010000000474974513,0.6029547452926636,0.8493894338607788,0.46109744906425476
8,0.8030378818511963,0.0010000000474974513,0.5977997183799744,0.873812735080719,0.44317734241485596
9,0.8105699419975281,0.0010000000474974513,0.5864253044128418,0.8690637946128845,0.4498956501483917
10,0.8120763301849365,0.0010000000474974513,0.5770043730735779,0.8744911551475525,0.4426487684249878
11,0.813331663608551,0.0010000000474974513,0.5724295973777771,0.8805969953536987,0.4246073067188263
12,0.818604052066803,0.0010000000474974513,0.5697370767593384,0.8792401552200317,0.41582274436950684
13,0.8223700523376465,0.0010000000474974513,0.5627968907356262,0.8805969953536987,0.4382871091365814
14,0.8216168880462646,0.0010000000474974513,0.5534677505493164,0.8819538950920105,0.4180821180343628
15,0.82613605260849,0.0010000000474974513,0.5545954704284668,0.8785617351531982,0.41645073890686035
16,0.8361787796020508,0.0010000000474974513,0.5396520495414734,0.8887381553649902,0.41127222776412964
17,0.8326638340950012,0.0010000000474974513,0.5377810001373291,0.8900949954986572,0.4127347469329834
18,0.8305297493934631,0.0010000000474974513,0.5460467338562012,0.882632315158844,0.42654240131378174
19,0.8340446949005127,0.0010000000474974513,0.5391078591346741,0.8900949954986572,0.4081384539604187
20,0.8389405012130737,0.0010000000474974513,0.5337721109390259,0.8948439359664917,0.4084447920322418
21,0.8399447798728943,0.0010000000474974513,0.5432865023612976,0.898236095905304,0.4040195345878601
22,0.8424554467201233,0.0010000000474974513,0.5298919677734375,0.8928086757659912,0.40655434131622314
23,0.8453426957130432,0.0010000000474974513,0.528758704662323,0.898236095905304,0.4090285003185272
24,0.8386894464492798,0.0010000000474974513,0.524614691734314,0.9151967167854309,0.38573434948921204
25,0.8462214469909668,0.0010000000474974513,0.5257054567337036,0.9002713561058044,0.40268680453300476
26,0.8492342233657837,0.0010000000474974513,0.5205205678939819,0.9185888767242432,0.3930336833000183
27,0.8530002236366272,0.0010000000474974513,0.5181039571762085,0.9097693562507629,0.3951539695262909
28,0.8558875322341919,0.0010000000474974513,0.5225183963775635,0.9165536165237427,0.3993771970272064
29,0.8558875322341919,0.0010000000474974513,0.5199912786483765,0.9104477763175964,0.39759311079978943
30,0.8753452301025391,0.0003000000142492354,0.47142964601516724,0.9213025569915771,0.37083548307418823
31,0.8750941753387451,0.0003000000142492354,0.47568225860595703,0.9246947169303894,0.3651634752750397
32,0.878358006477356,0.0003000000142492354,0.45505011081695557,0.9240162968635559,0.3558811843395233
33,0.8777303695678711,0.0003000000142492354,0.45436111092567444,0.9287652373313904,0.35263022780418396
34,0.8835048675537109,0.0003000000142492354,0.44378915429115295,0.9328358173370361,0.3446400761604309
35,0.8776048421859741,0.0003000000142492354,0.4488805830478668,0.9328358173370361,0.3414839506149292
36,0.8901581764221191,0.0003000000142492354,0.4269101023674011,0.9287652373313904,0.3360637426376343
37,0.8860155940055847,0.0003000000142492354,0.43153783679008484,0.9423337578773499,0.32824140787124634
38,0.8838815093040466,0.0003000000142492354,0.43127480149269104,0.9369063973426819,0.3234620690345764
39,0.8896560668945312,0.0003000000142492354,0.4233054518699646,0.9335142374038696,0.320860356092453
