epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.29101285338401794,0.0010000000474974513,1.8549391031265259,0.44165536761283875,1.635904312133789
1,0.4256775975227356,0.0010000000474974513,1.2377620935440063,0.5189959406852722,1.4718437194824219
2,0.47018545866012573,0.0010000000474974513,1.0598902702331543,0.5671641826629639,1.373201847076416
3,0.5266761779785156,0.0010000000474974513,0.9494624137878418,0.6065129041671753,1.2310982942581177
4,0.5593438148498535,0.0010000000474974513,0.8677172064781189,0.5976933240890503,1.2377952337265015
5,0.5764622092247009,0.0010000000474974513,0.9102926254272461,0.6085481643676758,1.1362452507019043
6,0.6035663485527039,0.0010000000474974513,0.8040966391563416,0.6879240274429321,1.0046857595443726
7,0.6118402481079102,0.0010000000474974513,0.798474907875061,0.6451831459999084,1.0679997205734253
8,0.6228245496749878,0.0010000000474974513,0.7095931768417358,0.6757123470306396,0.9750304222106934
9,0.64051353931427,0.0010000000474974513,0.7106626629829407,0.6777476072311401,0.9764370322227478
10,0.6530670523643494,0.0010000000474974513,0.7020375728607178,0.6587516665458679,1.0477572679519653
11,0.6502139568328857,0.0010000000474974513,0.701572060585022,0.6899592876434326,0.9539393186569214
12,0.667617678642273,0.0010000000474974513,0.6665999889373779,0.6791045069694519,0.9751380681991577
13,0.6560627818107605,0.0010000000474974513,0.6925452351570129,0.6899592876434326,0.9417233467102051
14,0.6784593462944031,0.0010000000474974513,0.6505927443504333,0.6994572877883911,0.9071789979934692
15,0.6758915781974792,0.0010000000474974513,0.6002792716026306,0.7021709680557251,0.9053999185562134
16,0.6883023977279663,0.0010000000474974513,0.6602927446365356,0.7130258083343506,0.9309366941452026
17,0.6860199570655823,0.0010000000474974513,0.6633004546165466,0.6872456073760986,0.968813419342041
18,0.6691868901252747,0.0010000000474974513,0.6350340843200684,0.7103120684623718,0.9124842882156372
19,0.6907275319099426,0.0010000000474974513,0.6215049028396606,0.7001357078552246,0.9598352909088135
20,0.6835948824882507,0.0010000000474974513,0.623222291469574,0.6906377077102661,0.9367005825042725
21,0.6972895860671997,0.0003000000142492354,0.5739829540252686,0.727951169013977,0.8609368801116943
22,0.7154065370559692,0.0003000000142492354,0.5506444573402405,0.7245590090751648,0.8623591661453247
23,0.7119829058647156,0.0003000000142492354,0.5429789423942566,0.7075983881950378,0.8951377272605896
24,0.7081312537193298,0.0003000000142492354,0.5245644450187683,0.7218453288078308,0.8777880072593689
25,0.7198288440704346,0.0003000000142492354,0.5169618129730225,0.7333785891532898,0.8491756916046143
26,0.7308131456375122,0.0003000000142492354,0.5165095925331116,0.729308009147644,0.8417879939079285
27,0.7168331146240234,0.0003000000142492354,0.5145438313484192,0.7184531688690186,0.8698343634605408
28,0.7209700345993042,0.0003000000142492354,0.5287669897079468,0.719131588935852,0.8728790879249573
29,0.7263908982276917,0.0003000000142492354,0.5070235729217529,0.732021689414978,0.8533012270927429
30,0.7231098413467407,0.0003000000142492354,0.4967777132987976,0.7347354292869568,0.8509858250617981
31,0.7310984134674072,0.0003000000142492354,0.5418598055839539,0.7259158492088318,0.8665241599082947
32,0.7303851842880249,9.000000136438757e-05,0.46414485573768616,0.7286295890808105,0.8631159663200378
33,0.7325249910354614,9.000000136438757e-05,0.46643972396850586,0.7340570092201233,0.8425648212432861
34,0.7379457950592041,9.000000136438757e-05,0.50404953956604,0.7394843697547913,0.8334786891937256
35,0.7385163903236389,9.000000136438757e-05,0.48005661368370056,0.7401628494262695,0.8309857249259949
36,0.7298145294189453,9.000000136438757e-05,0.46165913343429565,0.7388059496879578,0.8266408443450928
37,0.737232506275177,9.000000136438757e-05,0.459160178899765,0.7394843697547913,0.8332744836807251
38,0.7467902898788452,9.000000136438757e-05,0.4556947946548462,0.7367706894874573,0.8277813792228699
39,0.7375178337097168,9.000000136438757e-05,0.450019508600235,0.7476255297660828,0.8274589776992798
