epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7121255397796631,9.999999747378752e-06,1.0568305253982544,0.7659429907798767,0.7948166728019714
1,0.7186875939369202,9.999999747378752e-06,0.9505885243415833,0.7557666301727295,0.8079442381858826
2,0.7413694858551025,9.999999747378752e-06,0.879809558391571,0.7632293105125427,0.78108811378479
3,0.7395150065422058,9.999999747378752e-06,0.8566085696220398,0.7659429907798767,0.7559552788734436
4,0.7576319575309753,9.999999747378752e-06,0.8173529505729675,0.7672998905181885,0.7370108366012573
5,0.7559201121330261,9.999999747378752e-06,0.7977580428123474,0.7686567306518555,0.7227327823638916
6,0.7624821662902832,9.999999747378752e-06,0.7804720997810364,0.7781546711921692,0.7120231986045837
7,0.7620542049407959,9.999999747378752e-06,0.7535409927368164,0.780868411064148,0.6996512413024902
8,0.7743223905563354,9.999999747378752e-06,0.7296045422554016,0.7849389314651489,0.6914574503898621
9,0.7761768698692322,9.999999747378752e-06,0.7136619687080383,0.7849389314651489,0.6820052862167358
10,0.778459370136261,9.999999747378752e-06,0.7138732671737671,0.7862957715988159,0.6748647093772888
11,0.7773181200027466,9.999999747378752e-06,0.7050871253013611,0.7896879315376282,0.6678504347801208
12,0.7848787307739258,9.999999747378752e-06,0.6927793025970459,0.7896879315376282,0.6600320935249329
13,0.7870185375213623,9.999999747378752e-06,0.6789366006851196,0.7930800318717957,0.6540228128433228
14,0.8032810091972351,9.999999747378752e-06,0.6400389671325684,0.7964721918106079,0.6495827436447144
15,0.7895863056182861,9.999999747378752e-06,0.6579982042312622,0.7978290319442749,0.6407455205917358
16,0.8027104139328003,9.999999747378752e-06,0.6286541223526001,0.7985074520111084,0.6407888531684875
17,0.7988587617874146,9.999999747378752e-06,0.6463500261306763,0.8052917122840881,0.6355195641517639
18,0.8088445067405701,9.999999747378752e-06,0.6164354085922241,0.8046132922172546,0.6334485411643982
19,0.807845950126648,9.999999747378752e-06,0.6087345480918884,0.8113975524902344,0.6250553131103516
20,0.8142653107643127,9.999999747378752e-06,0.6014150381088257,0.8086838722229004,0.6198586225509644
21,0.8051355481147766,9.999999747378752e-06,0.6270154118537903,0.8080054521560669,0.6186437010765076
22,0.812410831451416,9.999999747378752e-06,0.5886816382408142,0.8141112327575684,0.6142458915710449
23,0.8149785995483398,9.999999747378752e-06,0.5906987190246582,0.8181818127632141,0.6125996112823486
24,0.8169757723808289,9.999999747378752e-06,0.5914754867553711,0.8161465525627136,0.6095024347305298
25,0.8253923058509827,9.999999747378752e-06,0.5685045123100281,0.8188602328300476,0.6082826852798462
26,0.8298145532608032,9.999999747378752e-06,0.5683830380439758,0.8168249726295471,0.6040172576904297
27,0.8235378265380859,9.999999747378752e-06,0.5650708079338074,0.8175033926963806,0.6014418005943298
28,0.8275321125984192,9.999999747378752e-06,0.5503828525543213,0.8188602328300476,0.5969637632369995
29,0.8243937492370605,9.999999747378752e-06,0.5540041923522949,0.8168249726295471,0.5964567065238953
30,0.8268188238143921,9.999999747378752e-06,0.5524981021881104,0.8202170729637146,0.5939199328422546
31,0.8255349397659302,9.999999747378752e-06,0.5455740690231323,0.8208954930305481,0.5914654731750488
32,0.8283880352973938,9.999999747378752e-06,0.5411069393157959,0.8208954930305481,0.5894822478294373
33,0.8276747465133667,9.999999747378752e-06,0.5535348653793335,0.8215739727020264,0.5895355939865112
34,0.8407988548278809,9.999999747378752e-06,0.5140947103500366,0.8249660730361938,0.5863627791404724
35,0.8455064296722412,9.999999747378752e-06,0.5051547288894653,0.8229308128356934,0.5813375115394592
36,0.8389443755149841,9.999999747378752e-06,0.5214427709579468,0.8215739727020264,0.581662654876709
37,0.840228259563446,9.999999747378752e-06,0.511830747127533,0.8256444931030273,0.5789716839790344
38,0.8436519503593445,9.999999747378752e-06,0.5106643438339233,0.8249660730361938,0.5782132148742676
39,0.8432239890098572,9.999999747378752e-06,0.5089397430419922,0.8222523927688599,0.5786852240562439
